ID;plant_tag;flowers;fruit_set;crop_size;removal;seedling;dg_visits;ss_visits;germ;plants_per_host;hab50;s50clasif;hab100;s100clasif;hab250;s250clasif;UTM_E;UTM_N;temp;temp_std;hum;hum_std;lum;lum_std
38;QM86;21;0.93;20;0.00;0;0;0;0.80;2;0.94;Native;0.77;Native;0.54;Native;615176;5573487;15.9;-0.18;62;-0.07;1634;-0.44
39;QM88;45;0.88;40;0.00;10;0;0;0.80;4;0.99;Native;0.80;Native;0.53;Native;615168;5573488;15.1;-0.51;62;-0.07;3110;-0.17
40;QM91;125;0.80;100;0.00;10;3;32;1.00;1;1.00;Native;1.00;Native;0.55;Native;615119;5573510;14.8;-0.64;65;0.17;3220;-0.15
41;QM92;103;0.97;100;0.30;0;1;0;0.00;1;1.00;Native;0.73;Native;0.45;Native;615002;5573421;18.1;0.74;58;-0.38;1614;-0.44
42;QM93;64;0.94;60;0.00;0;1;0;0.80;1;1.00;Native;0.77;Native;0.45;Native;615003;5573425;18.1;0.74;58;-0.38;1614;-0.44
43;QM95;20;0.77;16;0.13;0;1;0;0.25;1;0.69;Native;0.45;Native;0.41;Native;615001;5573350;19.7;1.41;52;-0.86;8630;0.84
44;QM96;11;0.82;9;0.40;0;1;0;0.50;1;0.69;Native;0.45;Native;0.41;Native;615003;5573352;19.7;1.41;52;-0.86;4280;0.04
45;QM97;38;0.92;35;0.60;0;9;8;1.00;1;0.24;Novel;0.12;Novel;0.27;Novel;615687;5575381;14.0;-0.97;74;0.88;1807;-0.41
46;QM98;25;0.79;20;1.00;0;0;1;1.00;1;0.09;Novel;0.18;Novel;0.31;Novel;615714;5575397;14.0;-0.97;75;0.96;2680;-0.25
47;QM99;87;0.80;70;0.30;0;2;2;0.20;2;0.30;Novel;0.36;Novel;0.40;Native;615023;5573269;18.0;0.70;47;-1.25;3750;-0.05
48;QM102;29;0.68;20;0.60;0;4;0;1.00;1;1.00;Native;0.93;Native;0.61;Native;616941;5573592;19.5;1.33;49;-1.09;2700;-0.24
49;QM103;56;0.80;45;0.30;0;9;0;0.80;1;1.00;Native;0.89;Native;0.60;Native;616929;5573600;19.5;1.33;50;-1.01;1554;-0.45
50;QM105;14;0.87;13;0.57;0;2;0;1.00;1;1.00;Native;1.00;Native;0.71;Native;618889;5573035;16.7;0.15;42;-1.64;401;-0.66
51;QM109;37;0.67;25;1.00;2;2;3;0.80;1;0.75;Native;0.72;Native;0.72;Native;619857;5572217;19.1;1.16;51;-0.93;6150;0.38
52;QM110;55;0.91;50;0.90;0;1;13;0.60;1;0.64;Novel;0.64;Native;0.75;Native;619873;5572170;17.8;0.61;50;-1.01;650;-0.62
53;QM117;5;0.91;5;1.00;0;4;4;1.00;1;0.45;Novel;0.53;Native;0.71;Native;619890;5572061;18.9;1.07;47;-1.25;8340;0.78
54;QM120;18;0.88;16;0.00;0;0;0;1.00;1;1.00;Native;1.00;Native;1.00;Native;622773;5571247;21.5;2.16;50;-1.01;1138;-0.53
55;QM125;8;0.84;7;0.50;0;8;2;0.50;1;1.00;Native;0.99;Native;0.86;Native;622091;5571867;18.6;0.95;45;-1.41;1017;-0.55
56;QM129;29;0.84;25;0.50;0;0;2;0.80;1;1.00;Native;0.51;Native;0.28;Novel;614994;5573071;17.7;0.57;49;-1.09;7530;0.64
57;QM133;81;0.62;50;0.40;0;3;0;1.00;1;1.00;Native;0.96;Native;0.86;Native;614628;5571874;18.2;0.78;53;-0.78;23000;3.45
