Country	Continent	Geography	Country_size	Population	Pop_density	Urbanization	Ethnic dominance	Literacy	education_GDP	GDP	money_educ	GDP_percapita	educ_percap	perc_prot_land	protected_area	perc_PA_2019	delta_PA	total_mammals	total_birds	total_reptiles	total_amphibians	total_plants	threat_mammals07	threat_birds07	threat_reptiles07	threat_amphibians07	threat_plants07	prop_thr_mammals07	prop_thr_birds07	prop_thr_reptiles07	prop_thr_amphibians07	prop_thr_plants07	prop_thr_vertebrates07	threat_mammals17	threat_birds17	threat_reptiles17	threat_amphibians17	threat_plants17	prop_thr_mammals17	prop_thr_birds17	prop_thr_reptiles17	prop_thr_amphibians17	prop_thr_plants17	prop_thr_vertebrates17	Delta prop mammals	Delta prop birds	Delta prop reptiles	Delta prop amphibians	Delta prop plants	Delta prop vertebrates
Thailand	Asia	Continent	513120	65905410	128,44	0,33	1	0,93	0,042	553400	23242,8	8396,88	352,67	13,1	67218,72	18,81	5,71	300	1053	433	183	11625	38	43	22	3	86	0,13	0,04	0,05	0,02	0,01	0,06	57	54	28	3	152	0,19	0,05	0,06	0,02	0,01	0,08	0,06	0,01	0,01	0	0,01	0,02
Turkey	Asia	Continent	783562	76805524	98,02	0,69	1	0,87	0,04	906500	36260	11802,54	472,1	0,4	3134,248	0,22	0	145	503	147	37	8650	18	15	13	9	3	0,12	0,03	0,09	0,24	0,0001	0,12	18	20	20	10	106	0,12	0,04	0,14	0,27	0,01	0,14	0	0,01	0,05	0,03	0,01	0,02
Turkmenistan	Asia	Continent	488100	4884887	10,01	0,49	1	0,99	0,039	29650	1156,4	6069,74	236,72	4,2	20500,2	3,25	0	103	410	87	5	2800	15	15	1	0	3	0,15	0,04	0,01	0,0001	0,0001	0,05	10	20	2	0	4	0,1	0,05	0,02	0,0001	0,0001	0,04	-0,05	0,01	0,01	0	0	-0,01
Uzbekistan	Asia	Continent	447400	276066007	617,05	0,37	1	0,99	0,094	71630	6733,2	259,47	24,39	2,1	9395,4	3,38	1,28	91	388	59	5	4800	10	15	2	0	15	0,11	0,04	0,03	0,0001	0,0001	0,05	10	20	2	0	17	0,11	0,05	0,03	0,0001	0,0001	0,05	0	0,01	0	0	0	0
Viet Nam	Asia	Continent	331210	86967524	262,58	0,28	1	0,9	0,018	241800	4352,4	2780,35	50,05	3,1	10267,51	7,58	4,48	279	921	467	264	10500	43	38	25	15	146	0,15	0,04	0,05	0,06	0,01	0,08	55	47	49	29	204	0,2	0,05	0,1	0,11	0,02	0,12	0,04	0,01	0,05	0,05	0,01	0,04
Yemen	Asia	Continent	527968	23822783	45,12	0,31	1	0,5	0,096	55290	5307,8	2320,89	222,81	0	0	0,77	0,77	74	465	110	9	1650	8	13	2	1	159	0,11	0,03	0,02	0,11	0,1	0,07	9	18	7	1	162	0,12	0,04	0,06	0,11	0,1	0,08	0,01	0,01	0,05	0	0	0,02
Barbados	Central_America	Island	430	284589	661,83	0,4	1	1	0,069	5466	377,2	19206,65	1325,26	0	0	1,27	1,27	14	266	11	2	700	1	1	4	0	2	0,07	0,0001	0,36	0,0001	0,0001	0,11	3	3	7	0	3	0,21	0,01	0,64	0,0001	0,0001	0,22	0,14	0,01	0,27	0	0	0,11
Belize	Central_America	Continent	22966	307899	13,41	0,52	2	0,77	0,053	2820	149,5	9158,85	485,42	20,9	4799,894	37,68	16,78	147	603	141	141	2894	5	3	5	6	30	0,03	0,0001	0,04	0,04	0,01	0,03	9	5	8	4	36	0,06	0,01	0,06	0,03	0,01	0,04	0,03	0	0,02	-0,01	0	0,01
Costa Rica	Central_America	Continent	51100	4253877	83,25	0,63	1	0,95	0,049	48480	2375,5	11396,66	558,44	13,7	7000,7	28,29	14,59	232	926	261	207	12119	12	17	8	62	111	0,05	0,02	0,03	0,3	0,01	0,1	11	24	12	61	140	0,05	0,03	0,05	0,29	0,01	0,1	0	0,01	0,02	0	0	0
Cuba	Central_America	Island	110860	11451652	103,3	0,76	1	1	0,091	108200	9846,2	9448,42	859,81	17,4	19289,64	16,55	0	65	377	174	70	6522	11	17	7	47	163	0,17	0,05	0,04	0,67	0,02	0,23	11	17	16	49	179	0,17	0,05	0,09	0,7	0,03	0,25	0	0	0,05	0,03	0	0,02
Dominican Republic	Central_America	Island	48670	9650054	198,28	0,69	2	0,87	0,036	77430	2787,5	8023,79	288,86	31,5	15331,05	26,24	6,04	36	318	126	48	5657	5	14	10	31	30	0,14	0,04	0,08	0,65	0,01	0,23	6	15	44	32	42	0,17	0,05	0,35	0,67	0,01	0,31	0,03	0	0,27	0,02	0	0,08
El Salvador	Central_America	Continent	21041	7185218	341,49	0,61	1	0,82	0,031	43940	1362,1	6115,33	189,58	0,3	63,123	8,78	8,48	137	606	153	38	2911	3	4	6	9	26	0,02	0,01	0,04	0,24	0,01	0,08	6	6	10	10	29	0,04	0,01	0,07	0,26	0,01	0,1	0,02	0	0,03	0,03	0	0,02
Guatemala	Central_America	Continent	108889	13276517	121,93	0,49	2	0,69	0,026	68020	1768,5	5123,33	133,21	16,8	18293,352	20,05	3,25	193	768	263	167	8681	7	11	14	76	84	0,04	0,01	0,05	0,46	0,01	0,14	15	15	32	78	101	0,08	0,02	0,12	0,47	0,01	0,17	0,04	0,01	0,07	0,01	0	0,03
Haiti	Central_America	Island	27750	9035536	325,6	0,47	1	0,53	0,014	11590	162,3	1282,71	17,96	0,4	111	1,95	1,55	41	268	123	55	5242	4	13	9	46	29	0,1	0,05	0,07	0,84	0,01	0,26	5	15	50	49	42	0,12	0,06	0,41	0,89	0,01	0,37	0,02	0,01	0,33	0,05	0	0,1
Honduras	Central_America	Continent	112090	7792854	69,52	0,48	1	0,8	0,038	33630	1277,9	4315,49	163,99	9,9	11096,91	23,89	13,99	201	782	270	148	5680	9	7	11	55	110	0,04	0,01	0,04	0,37	0,02	0,12	7	12	40	56	123	0,03	0,02	0,15	0,38	0,02	0,14	-0,01	0,01	0,11	0,01	0	0,03
Jamaica	Central_America	Island	10991	2825928	257,11	0,53	1	0,88	0,053	20880	1106,6	7388,72	391,6	0,1	10,991	15,92	15,82	35	324	50	25	3308	5	10	8	17	209	0,14	0,03	0,16	0,68	0,06	0,25	6	10	21	15	214	0,17	0,03	0,42	0,6	0,06	0,31	0,03	0	0,26	-0,08	0	0,05
Mexico	Central_America	Continent	1964375	111211789	56,61	0,77	1	0,91	0,055	1559000	85745	14018,3	771,01	2,4	47145	14,46	12,06	544	1120	924	402	26071	72	59	95	198	261	0,13	0,05	0,1	0,49	0,01	0,2	95	64	97	219	401	0,17	0,06	0,1	0,54	0,02	0,22	0,04	0	0	0,05	0,01	0,03
Nicaragua	Central_America	Continent	130370	5891199	45,19	0,57	1	0,68	0,031	16830	521,7	2856,8	88,56	7,4	9647,38	37,23	29,83	181	738	194	76	7590	5	9	8	10	39	0,03	0,01	0,04	0,13	0,01	0,05	7	15	9	10	46	0,04	0,02	0,05	0,13	0,01	0,06	0,01	0,01	0,01	0	0	0,01
Panama	Central_America	Continent	75420	3360474	44,55680191	0,73	1	0,919	0,038	38490	1462,62	11453,74135	435,2421712	19,1	14405,22	20,89	1,79	241	997	274	228	9915	17	19	7	55	194	0,07	0,02	0,03	0,24	0,02	0,09	17	23	10	49	208	0,07	0,02	0,04	0,21	0,02	0,09	0	0	0,01	-0,03	0	0
Trinidad and Tobago	Central_America	Island	5128	1229953	239,85	0,13	2	0,99	0,042	24190	1016	19667,42	826,03	3	153,84	30,59	27,59	116	485	32	37	2259	1	2	5	9	1	0,01	0,0001	0,16	0,24	0,0001	0,1	2	5	7	8	2	0,02	0,01	0,22	0,22	0,0001	0,12	0,01	0,01	0,06	-0,03	0	0,01
Albania	Europe	Continent	28748	3639453	126,6	0,47	1	0,99	0,029	21820	632,8	5995,41	173,87	2,8	804,944	17,74	14,94	73	353	38	18	3031	2	6	4	2	0	0,03	0,02	0,11	0,11	0,0001	0,07	3	9	4	2	0	0,04	0,03	0,11	0,11	0,0001	0,07	0,01	0,01	0	0	0	0,01
Austria	Europe	Continent	83871	8210281	97,89	0,67	1	0,98	0,054	325000	17550	39584,52	2137,56	28,3	23735,493	28,4	0,1	101	441	16	19	3100	6	5	1	0	4	0,06	0,01	0,06	0,0001	0,0001	0,03	3	11	1	0	13	0,03	0,02	0,06	0,0001	0,0001	0,03	-0,03	0,01	0	0	0	0
Belarus	Europe	Continent	207600	9648533	46,48	0,73	1	1	0,061	114100	6960,1	11825,63	721,36	4,2	8719,2	9,35	5,15	71	329	7	12	2100	6	3	0	0	0	0,08	0,01	0,0001	0,0001	0,0001	0,02	4	9	0	0	1	0,06	0,03	0,0001	0,0001	0,0001	0,02	-0,03	0,02	0	0	0	0
Belgium	Europe	Continent	30528	10414336	341,14	0,97	1	0,99	0,06	390500	23430	37496,39	2249,78	2,6	793,728	24,88	22,28	92	468	9	8	1550	8	1	0	0	1	0,09	0,0001	0,0001	0,0001	0,0001	0,02	2	7	0	0	0	0,02	0,01	0,0001	0,0001	0,0001	0,01	-0,07	0,01	0	0	0	-0,01
Bulgaria	Europe	Continent	110879	7204687	64,98	0,71	1	0,98	0,045	93780	4220,1	13016,53	585,74	4,4	4878,676	40,59	36,19	106	425	38	18	3572	13	12	2	0	0	0,12	0,03	0,05	0,0001	0,0001	0,05	8	18	2	0	6	0,08	0,04	0,05	0,0001	0,0001	0,04	-0,05	0,01	0	0	0	-0,01
Croatia	Europe	Continent	56594	4489409	79,33	0,57	1	0,98	0,045	73360	3301,2	16340,68	735,33	6,7	3791,798	38,26	31,56	96	408	40	20	4288	7	11	2	2	1	0,07	0,03	0,05	0,1	0,0001	0,06	9	15	4	2	8	0,09	0,04	0,1	0,1	0,0001	0,08	0,02	0,01	0,05	0	0	0,02
Czech Republic	Europe	Continent	78867	10211904	129,48	0,73	1	0,99	0,044	266300	11717,2	26077,41	1147,41	15,8	12460,986	22,16	6,36	88	417	13	20	1900	7	5	0	0	4	0,08	0,01	0,0001	0,0001	0,0001	0,02	3	9	0	0	10	0,03	0,02	0,0001	0,0001	0,01	0,01	-0,05	0,01	0	0	0	-0,01
Denmark	Europe	Continent	43094	5500510	127,64	0,87	1	0,99	0,083	203600	16898,8	37014,75	3072,22	32,2	13876,268	18,1	0,3	81	484	6	14	1450	3	3	0	0	3	0,04	0,01	0,0001	0,0001	0,0001	0,01	2	8	0	0	1	0,02	0,02	0,0001	0,0001	0,0001	0,01	-0,01	0,01	0	0	0	0
Estonia	Europe	Continent	45228	1299371	28,73	0,69	1	1	0,051	27720	1413,7	21333,4	1088	12	5427,36	20,28	8,28	67	399	6	10	1630	5	3	0	0	0	0,07	0,01	0,0001	0,0001	0,0001	0,02	1	9	0	0	0	0,01	0,02	0,0001	0,0001	0,0001	0,01	-0,06	0,02	0	0	0	-0,01
Finland	Europe	Continent	338145	5250275	15,53	0,63	1	1	0,064	195200	12492,8	37179	2379,46	6	20288,7	15,07	9,07	80	488	6	6	1102	4	3	0	0	1	0,05	0,01	0,0001	0,0001	0,0001	0,01	2	10	0	0	2	0,03	0,02	0,0001	0,0001	0,0001	0,01	-0,03	0,01	0	0	0	0
France	Europe	Continent	643427	64057792	99,56	0,77	2	0,99	0,057	2097000	119529	32736,06	1865,96	11,7	75280,959	25,98	14,28	148	591	53	40	4630	15	5	5	2	7	0,1	0,01	0,09	0,05	0,0001	0,06	9	14	5	2	35	0,06	0,02	0,09	0,05	0,01	0,06	-0,04	0,02	0	0	0,01	-0,01
Germany	Europe	Continent	357022	82329758	230,6	0,74	1	0,99	0,046	2863000	131698	34774,79	1599,64	27	96395,94	37,86	10,86	126	541	15	21	2682	9	4	0	0	12	0,07	0,01	0,0001	0,0001	0,0001	0,02	5	11	0	0	12	0,04	0,02	0,0001	0,0001	0,0001	0,02	-0,03	0,01	0	0	0	0
Greece	Europe	Continent	131957	10737428	81,37	0,61	1	0,96	0,044	346600	15250,4	32279,61	1420,3	2,2	2903,054	35,22	33,02	118	463	71	26	4992	11	10	5	5	11	0,09	0,02	0,07	0,19	0,0001	0,09	11	16	9	5	60	0,09	0,03	0,13	0,19	0,01	0,11	0	0,01	0,06	0	0,01	0,02
Hungary	Europe	Continent	93028	9905596	106,48	0,68	1	0,99	0,055	205700	11313,5	20766,04	1142,13	6,8	6325,904	22,6	15,8	88	430	17	17	2214	9	9	1	0	1	0,1	0,02	0,06	0,0001	0,0001	0,05	3	13	1	0	9	0,03	0,03	0,06	0,0001	0,0001	0,03	-0,07	0,01	0	0	0	-0,01
Iceland	Europe	Island	103000	306694	2,98	0,92	1	0,99	0,076	12150	923,4	39616,03	3010,82	9,7	9991	18,15	8,45	33	405	0	0	377	6	0	0	0	0	0,18	0,0001	0,0001	0,0001	0,0001	0,05	6	5	0	0	0	0,18	0,01	0,0001	0,0001	0,0001	0,05	0	0,01	0	0	0	0
Ireland	Europe	Island	70273	4203200	59,81	0,61	1	0,99	0,047	191900	9019,3	45655,69	2145,82	0,9	632,457	14,44	13,54	63	495	16	3	950	3	1	0	0	1	0,05	0,0001	0,0001	0,0001	0,0001	0,01	5	8	1	0	1	0,08	0,02	0,06	0,0001	0,0001	0,04	0,03	0,01	0,06	0	0	0,03
Italy	Europe	Continent	301340	58126212	192,89	0,68	1	0,98	0,045	1821000	81945	31328,38	1409,78	7,3	21997,82	21,84	14,54	132	543	59	44	5599	12	7	5	6	19	0,09	0,01	0,08	0,14	0,0001	0,08	8	15	4	9	71	0,06	0,03	0,07	0,2	0,01	0,09	-0,03	0,01	-0,02	0,07	0,01	0,01
Latvia	Europe	Continent	64589	2231503	34,55	0,68	1	1	0,051	38980	1988	17468,05	890,87	12,5	8073,625	18,17	5,67	68	369	7	11	1153	5	4	0	0	0	0,07	0,01	0,0001	0,0001	0,0001	0,02	1	10	0	0	0	0,01	0,03	0,0001	0,0001	0,0001	0,01	-0,06	0,02	0	0	0	-0,01
Lithuania	Europe	Continent	65300	3555179	54,44	0,67	1	1	0,05	63250	3162,5	17790,95	889,55	10	6530	17,02	7,02	71	383	8	12	1796	6	4	0	0	0	0,08	0,01	0,0001	0,0001	0,0001	0,02	2	9	0	0	1	0,03	0,02	0,0001	0,0001	0,0001	0,01	-0,06	0,01	0	0	0	-0,01
Macedonia, the former Yugoslav Republic of	Europe	Continent	25713	2066718	80,38	0,67	1	0,96	0,035	18520	648,2	8961,07	313,64	7,1	1825,623	10,56	3,46	89	340	34	15	3500	9	10	2	0	0	0,1	0,03	0,06	0,0001	0,0001	0,05	6	14	2	0	0	0,07	0,04	0,06	0,0001	0,0001	0,04	-0,03	0,01	0	0	0	-0,01
Moldova, Republic of	Europe	Continent	33851	4320748	127,64	0,42	1	0,99	0,076	10630	807,9	2460,22	186,98	1,2	406,212	4,15	2,95	50	316	14	14	1752	5	9	1	0	0	0,1	0,03	0,07	0,0001	0,0001	0,05	5	12	2	0	2	0,1	0,04	0,14	0,0001	0,0001	0,07	0	0,01	0,07	0	0	0,02
Netherlands	Europe	Continent	41543	16715999	402,38	0,82	1	0,99	0,053	670200	35520,6	40093,33	2124,95	6,7	2783,381	11,24	4,54	95	535	17	18	1221	10	1	0	0	0	0,11	0,0001	0,0001	0,0001	0,0001	0,03	3	9	0	0	0	0,03	0,02	0,0001	0,0001	0,0001	0,01	-0,07	0,01	0	0	0	-0,01
Norway	Europe	Continent	323802	4660539	14,39	0,77	1	1	0,072	256500	18468	55036,55	3962,63	6,8	22018,536	17,21	10,41	83	521	9	6	1715	10	2	0	0	2	0,12	0,0001	0,0001	0,0001	0,0001	0,03	8	9	0	0	3	0,1	0,02	0,0001	0,0001	0,0001	0,03	-0,02	0,01	0	0	0	0
Poland	Europe	Continent	312685	38482919	123,07	0,61	1	1	0,055	667400	36707	17342,76	953,85	9,6	30017,76	39,72	30,12	110	460	12	17	2450	13	5	0	0	4	0,12	0,01	0,0001	0,0001	0,0001	0,03	5	10	0	0	10	0,05	0,02	0,0001	0,0001	0,0001	0,02	-0,07	0,01	0	0	0	-0,02
Portugal	Europe	Continent	92090	10707924	116,28	0,59	1	0,93	0,055	237300	13051,5	22161,16	1218,86	6,5	5985,85	22,92	16,42	105	607	43	21	5050	15	8	2	0	16	0,14	0,01	0,05	0,0001	0,0001	0,05	13	13	4	1	82	0,12	0,02	0,09	0,05	0,02	0,07	-0,02	0,01	0,05	0,05	0,01	0,02
Romania	Europe	Continent	238391	22215421	93,19	0,54	1	0,97	0,035	271200	9492	12207,74	427,27	4,7	11204,377	24,48	19,78	101	392	24	18	3400	15	12	2	0	1	0,15	0,03	0,08	0,0001	0,0001	0,07	8	18	2	0	5	0,08	0,05	0,08	0,0001	0,0001	0,05	-0,07	0,02	0	0	0	-0,01
Slovakia	Europe	Continent	49035	5463046	111,41	0,56	1	1	0,039	119500	4660,5	21874,24	853,1	21,8	10689,63	37,59	15,79	87	362	13	18	3124	8	7	1	0	2	0,09	0,02	0,08	0,0001	0,0001	0,05	4	11	0	0	7	0,05	0,03	0,0001	0,0001	0,0001	0,02	-0,05	0,01	-0,08	0	0	-0,03
Slovenia	Europe	Continent	20273	2005692	98,93	0,48	1	1	0,06	59140	3548,4	29486,08	1769,16	5,7	1155,561	53,62	47,92	87	384	24	21	3200	7	3	1	2	0	0,08	0,01	0,04	0,1	0,0001	0,06	6	8	2	2	7	0,07	0,02	0,08	0,1	0,0001	0,07	-0,01	0,01	0,04	0	0	0,01
Spain	Europe	Continent	505370	40525002	80,19	0,77	2	0,98	0,042	1378000	57876	34003,7	1428,16	8,4	42451,08	28,09	19,69	132	641	72	37	5050	20	15	17	5	49	0,15	0,02	0,24	0,14	0,01	0,14	17	17	20	6	216	0,13	0,03	0,28	0,16	0,04	0,15	-0,02	0	0,04	0,03	0,03	0,01
Sweden	Europe	Continent	450295	9059651	20,12	0,85	1	0,99	0,071	348600	24750,6	38478,3	2731,96	9	40526,55	14,67	5,67	85	531	7	12	1750	5	3	0	0	3	0,06	0,01	0,0001	0,0001	0,0001	0,02	1	9	0	0	4	0,01	0,02	0,0001	0,0001	0,0001	0,01	-0,05	0,01	0	0	0	-0,01
Switzerland	Europe	Continent	41277	7604467	184,23	0,73	1	0,99	0,058	309900	17974,2	40752,36	2363,64	18	7429,86	9,99	1,09	93	423	17	21	3030	4	2	0	1	3	0,04	0,0001	0,0001	0,05	0,0001	0,02	3	7	0	1	4	0,03	0,02	0,0001	0,05	0,0001	0,02	-0,01	0,01	0	0	0	0
Ukraine	Europe	Continent	603550	45700395	75,72	0,68	1	0,99	0,063	337000	21231	7374,12	464,57	1,6	9656,8	3,98	2,38	120	428	21	19	5100	16	12	2	0	1	0,13	0,03	0,1	0,0001	0,0001	0,06	10	18	1	0	17	0,08	0,04	0,05	0,0001	0,0001	0,04	-0,05	0,01	-0,05	0	0	-0,02
United Kingdom	Europe	Island	243610	61113205	250,86	0,9	1	0,99	0,056	2231000	124936	36506,02	2044,34	20,5	49940,05	28,69	8,19	103	627	5	15	1623	9	3	0	0	13	0,09	0,0001	0,0001	0,0001	0,01	0,02	5	9	1	0	16	0,05	0,01	0,2	0,0001	0,01	0,07	-0,04	0,01	0,2	0	0	0,04
Canada	North America	Continent	9984670	33487208	3,35	0,8	2	0,99	0,052	1307000	67964	39029,83	2029,55	10	998467	10,66	0,66	211	690	54	44	3270	17	18	3	1	1	0,08	0,03	0,06	0,02	0,0001	0,05	14	17	6	1	10	0,07	0,02	0,11	0,02	0,0001	0,06	-0,01	0	0,06	0	0	0,01
United States	North America	Continent	9826675	307212123	31,26	0,82	1	0,99	0,053	14290000	757370	46515,09	2465,3	13,4	1316774,45	12,99	0	468	1154	537	314	19473	41	74	32	53	242	0,09	0,06	0,06	0,17	0,01	0,1	35	78	37	56	465	0,07	0,07	0,07	0,18	0,02	0,1	-0,01	0	0,01	0,01	0,01	0
Australia	Oceania	Continent	7741220	21262641	2,75	0,89	1	0,99	0,045	800500	36022,5	37648,19	1694,17	7	541885,4	19,27	12,27	376	967	1050	243	15638	64	50	38	47	55	0,17	0,05	0,04	0,19	0,0001	0,11	62	52	43	47	93	0,16	0,05	0,04	0,19	0,01	0,11	-0,01	0	0	0	0	0
Fiji	Oceania	Island	18274	944720	51,7	0,52	1	0,94	0,065	3616	235	3827,59	248,79	1	182,74	5,41	4,41	15	177	43	3	1518	5	10	6	1	66	0,33	0,06	0,14	0,33	0,04	0,22	6	14	15	1	71	0,4	0,08	0,35	0,33	0,05	0,29	0,07	0,02	0,21	0	0	0,07
New Zealand	Oceania	Island	267710	4213418	15,74	0,87	1	0,99	0,062	116600	7229,2	27673,49	1715,76	23,6	63179,56	32,81	9,21	73	396	68	9	2382	8	70	12	4	21	0,11	0,18	0,18	0,44	0,01	0,23	9	69	15	3	21	0,12	0,17	0,22	0,33	0,01	0,21	0,01	0	0,04	-0,11	0	-0,01
Argentina	South America	Continent	2780400	40913584	14,71	0,92	1	0,97	0,038	575600	21872,8	14068,68	534,61	1,7	47266,8	8,45	6,75	375	1036	439	173	9372	29	49	5	29	42	0,08	0,05	0,01	0,17	0,0001	0,08	36	52	15	30	70	0,1	0,05	0,03	0,17	0,01	0,09	0,02	0	0,02	0,01	0	0,01
Bolivia	South America	Continent	1098581	9775246	8,9	0,66	1	0,87	0,064	43080	2757,1	4407,05	282,05	14,4	158195,664	30,87	16,47	361	1427	311	326	11367	25	31	2	21	71	0,07	0,02	0,01	0,06	0,01	0,04	21	54	6	35	104	0,06	0,04	0,02	0,11	0,01	0,06	-0,01	0,02	0,01	0,04	0	0,02
Brazil	South America	Continent	8514877	198739269	23,34	0,86	2	0,89	0,04	1990000	79600	10013,12	400,52	4,2	357624,834	29,42	25,22	578	1836	795	1112	56215	73	122	22	25	382	0,13	0,07	0,03	0,02	0,01	0,06	83	169	29	36	532	0,14	0,09	0,04	0,03	0,01	0,08	0,02	0,03	0,01	0,01	0	0,02
Chile	South America	Continent	756102	16601707	21,96	0,88	1	0,96	0,032	245300	7849,6	14775,59	472,82	18,9	142903,278	20,42	1,52	159	535	158	64	5284	22	33	0	20	39	0,14	0,06	0,0001	0,31	0,01	0,13	19	34	7	27	72	0,12	0,06	0,04	0,42	0,01	0,16	-0,02	0	0,04	0,11	0,01	0,03
Colombia	South America	Continent	1138914	45644023	40,08	0,74	1	0,9	0,047	399400	18771,8	8750,32	411,27	9	102502,26	14,81	5,81	467	1928	606	838	51220	38	87	15	209	222	0,08	0,05	0,02	0,25	0,0001	0,1	55	126	32	215	258	0,12	0,07	0,05	0,26	0,01	0,12	0,04	0,02	0,03	0,01	0	0,02
Ecuador	South America	Continent	283561	14573101	51,39	0,66	1	0,91	0,01	107100	1071	7349,16	73,49	43,1	122214,791	21,69	2,69	341	1681	460	610	19362	33	68	10	163	1838	0,1	0,04	0,02	0,27	0,09	0,11	46	106	39	175	1856	0,13	0,06	0,08	0,29	0,1	0,14	0,04	0,02	0,06	0,02	0	0,04
Guyana 	South America	Continent	2149639	772298	0,36	0,28	2	0,99	0,083	3010	249,8	3897,46	323,49	0,3	6448,917	8,74	8,44	237	800	185	169	6409	11	3	6	6	22	0,05	0,0001	0,03	0,04	0,0001	0,03	11	15	5	5	26	0,05	0,02	0,03	0,03	0,0001	0,03	0	0,02	-0,01	-0,01	0	0
Paraguay	South America	Continent	406752	6995655	17,2	0,6	1	0,94	0,04	28710	1148,4	4103,98	164,16	3,5	14236,32	14,31	10,81	168	721	185	109	7851	9	28	2	0	10	0,05	0,04	0,01	0,0001	0,0001	0,03	10	27	3	0	19	0,06	0,04	0,02	0,0001	0,0001	0,03	0,01	0	0,01	0	0	0
Peru	South America	Continent	1285216	29546963	22,99	0,71	2	0,93	0,025	238900	5972,5	8085,43	202,14	2,7	34700,832	21,53	18,83	441	1832	488	643	17144	46	94	6	80	274	0,1	0,05	0,01	0,12	0,02	0,07	54	121	15	111	326	0,12	0,07	0,03	0,17	0,02	0,1	0,02	0,01	0,02	0,05	0	0,02
Uruguay	South America	Continent	176215	34943382	198,3	0,92	1	0,98	0,029	42460	1231,3	1215,11	35,24	0,3	528,645	3,45	3,15	118	479	80	51	2278	6	25	3	4	1	0,05	0,05	0,04	0,08	0,0001	0,05	10	22	5	5	22	0,08	0,05	0,06	0,1	0,01	0,07	0,03	-0,01	0,03	0,02	0,01	0,02
Venezuela	South America	Continent	912050	26814843	29,4	0,93	2	0,93	0,037	357900	13242,3	13347,09	493,84	36,3	331074,15	54,14	17,84	353	1409	400	383	21073	24	26	13	69	68	0,07	0,02	0,03	0,18	0,0001	0,07	35	51	18	73	82	0,1	0,04	0,05	0,19	0,0001	0,09	0,03	0,02	0,01	0,01	0	0,02
