grid,Eucryphia_cordifolia,Dasyphyllum_diacanthoides,Lomatia_ferruginea,Amomyrtus_luma,Laurelopsis_philippiana,Laurelia_sempervirens,Cryptocarya_alba,Citronella_mucronata,Gevuina_avellana,Drimys_winteri,Luma_apiculata,Myrceugenia_planipes,Ovidia_pillopillo,Maytenus_boaria,Amomyrtus_meli,Berberis_microphylla,Fuchsia_magellanica,Embothrium_coccineum,Saxegothaea_conspicua,Griselinia_jodinifolia,Raphithamnus_spinosus,Aristotelia_chilensis,Aextoxicon_punctatum
G2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,3
G2,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,4,1
G2,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,2,0,0
G2,2,0,0,3,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0
G2,0,0,0,3,0,0,1,0,0,0,2,3,0,0,2,0,0,0,0,0,3,0,0
G2,0,0,1,2,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,3
G2,1,0,0,3,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1
G2,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
G2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,3
G2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,4,0,4
G2,0,0,0,1,0,0,2,1,0,0,3,4,0,0,2,2,0,0,0,0,3,0,3
G2,0,0,0,2,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4
G2,3,0,0,3,0,0,1,0,0,1,2,2,0,0,4,0,0,0,0,0,0,0,0
G2,0,0,0,3,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,3,0,1
G2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
G2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0
G2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0,0
G2,0,0,0,3,0,0,1,2,0,0,0,3,0,0,1,0,0,0,0,0,1,0,4
G2,0,0,0,4,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,4,0,0
G2,0,0,0,3,0,2,3,1,0,0,2,3,0,0,0,0,0,0,0,0,2,0,0
G2,3,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,1
G3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
G3,1,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2
G3,4,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
G3,1,0,0,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2
G3,0,0,0,2,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,1,0,2
G3,0,3,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
G3,1,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G3,0,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0
G3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
G3,1,0,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
G3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
G3,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G3,0,0,0,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
G3,3,0,2,5,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
G3,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G3,1,0,3,3,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,1,0
G3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
G3,1,0,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0
G3,0,0,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
G3,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
G3,0,0,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,1,0
G3,0,1,1,1,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,3,0,0
G3,0,3,3,3,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1
G3,0,1,2,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,0
G3,3,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0
G3,2,0,3,1,2,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
G3,1,0,3,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
G3,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0
G3,2,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0
G3,1,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0
G3,0,0,2,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3
G3,2,0,4,4,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0
G3,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
G3,0,0,0,1,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,2,0,0
G3,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0
G3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,3
G3,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,3,0
G3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
G3,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
G3,1,0,0,0,2,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,1,1,1
