Trap,grid,Oc.1,Oc.2,Oc.3,Oc.t,Cover,Moss.Cef,sp.trap,a.luma.p,drimys.p,l.apicul.p,mayte.p,rhaph.p,aristo.p,tristerix.p,ch.quila.p,grise.p,p.total,fruits.eaten.1,fruits.poten.1,fruits.total.1,fruits.eaten.2,fruits.poten.2,fruits.total.2,fruits.eaten.3,fruits.poten.3,fruits.total.3,biom.1,biom.2,biom.3,biom.tot,temp.1,temp.2,temp.3,precip.1,precip.2,precip.3,br.lunar.1,br.lunar.2,br.lunar.3,Sha.tot,Shannon.p.t,Shannon.b.t,Shannon.arb.frut
7D_3,G3,0,0,0,0,0.8778,1,Lau.phil,509.2946269,0,0,0,509.2946269,0,0,509.2946269,0,5602.240896,0,0,0,212.3916,0,212.3916,838.808,0,838.808,0,599,2151.4,916.8,9.5,11.33333333,11,0.3,0.3,0.071428571,10.5,4,4,1.820075975,0.137338038,0.211267693,0.950270539
8D_3,G3,0,0,0,0,0.909,3,A.luma,2037.178508,1527.883881,509.2946269,0,1018.589254,0,0,0,0,9167.303285,0,0,0,132.236,0,132.236,18.5399,0,18.5399,0,605,76.15,227.05,9.5,11.33333333,11,0.3,0.3,0.071428571,10.5,4,4,2.068478532,1.326010305,1.365280388,1.468139939
1E_3,G3,0,0,0,0,0.6906,1,Lomat,509.2946269,0,0,0,509.2946269,0,0,0,0,3055.767762,0,0,0,33.09,0,33.09,10.65,0,10.65,0,150,33.5,61.16666667,9.5,11.33333333,11,0.3,0.3,0.071428571,10.5,4,4,1.549826046,0.99746486,0.941424031,1.098612289
2E_3,G3,0,0,1,1,0.7608,1,Drimys,509.2946269,1527.883881,0,509.2946269,1018.589254,0,0,0,0,4074.357016,0,0,0,44.192,0,44.192,6.2132,0,6.2132,0,181.4,25.1,68.83333333,9.5,11.33333333,11,0.3,0.3,0.071428571,10.5,4,4,1.494175138,0.973146145,1.008353963,1.011404265
3E_3,G3,0,0,0,0,0.9012,3,Lau.phil,509.2946269,0,0,0,1527.883881,1018.589254,1018.589254,509.2946269,0,5092.946269,0,0,0,63.0028,0,63.0028,16.628,0,16.628,0,238,49.32,95.77333333,9.5,11.33333333,11,0.3,0.3,0.071428571,10.5,4,4,1.951259504,1.529536092,1.475984712,1.277034259
4E_3,G3,1,0,0,1,0.8466,3,A.luma,509.2946269,0,0,509.2946269,1527.883881,0,0,509.2946269,0,4074.357016,0,0,0,86.7308,0,86.7308,1194.892,0,1194.892,0,293.6,3075.6,1123.066667,9.5,11.33333333,11,0.3,0.3,0.071428571,10.5,4,4,1.464816385,0.231443432,0.32207495,1.004242473
5E_3,G3,0,0,1,1,0.8752,1,Drimys,0,1018.589254,0,1018.589254,509.2946269,1527.883881,509.2946269,0,0,4583.651642,0,0,0,33.1508,0,33.1508,4.806,0,4.806,0,111.46,18,43.15333333,9.5,11.33333333,11,0.3,0.3,0.071428571,10.5,4,4,1.695742534,1.120595401,1.07861859,1.277034259
6E_3,G3,0,0,1,1,0.805,3,Aristo,509.2946269,0,0,0,1018.589254,1018.589254,1018.589254,0,0,3055.767762,0,0,0,35.6292,0,35.6292,25.996,0,25.996,0,105.3,79.16,61.48666667,9.5,11.33333333,11,0.3,0.3,0.071428571,10.5,4,4,1.732867951,1.120142242,1.15392132,1.549826046
7E_3,G3,0,0,0,0,0.8102,1,Lomat,0,0,0,1018.589254,509.2946269,0,0,509.2946269,0,3565.062389,0,0,0,9.856,0,9.856,0,0,0,0,44.8,0,14.93333333,9.5,11.33333333,11,0.3,0.3,0.071428571,10.5,4,4,1.735126457,0,0,0
8E_3,G3,0,0,1,1,0.766,3,Drimys,0,1527.883881,0,1018.589254,509.2946269,509.2946269,0,509.2946269,0,6111.535523,0,0,0,63.8156,0,63.8156,28.1929,0,28.1929,0,241.6,90.3,110.6333333,9.5,11.33333333,11,0.3,0.3,0.071428571,10.5,4,4,2.303488495,1.165200703,1.17059876,1.475076311
