Condition	Video	Date	Time	Time_2
B	E02-0138	06/09/2017	14:26:00	0.601388889
B	E02-0140	06/09/2017	15:46:00	0.656944444
B	E02-0141	06/09/2017	16:41:00	0.695138889
B	E02-0142	07/09/2017	8:38:00	0.359722222
B	E02-0143	07/09/2017	9:33:00	0.397916667
B	E02-0144	07/09/2017	12:51:00	0.535416667
B	E02-0146	08/09/2017	11:28:00	0.477777778
B	E02-0147	08/09/2017	12:46:00	0.531944444
B	E02-0148	08/09/2017	13:38:00	0.568055556
B	E02-0150	08/09/2017	14:43:00	0.613194444
B	E02-0151	08/09/2017	15:37:00	0.650694444
B	E02-0152	09/09/2017	10:50:00	0.451388889
B	E02-0153	09/09/2017	12:13:00	0.509027778
B	E02-0154	09/09/2017	12:49:00	0.534027778
B	E02-0156	09/09/2017	13:29:00	0.561805556
B	E02-0162	09/09/2017	14:57:00	0.622916667
B	E02-0169	10/09/2017	8:02:00	0.334722222
B	E02-0182	15/09/2017	14:19:00	0.596527778
B	E02-0183	16/09/2017	11:12:00	0.466666667
B	E02-0184	16/09/2017	11:55:00	0.496527778
B	E02-0207	17/09/2017	9:33:00	0.397916667
B	E02-0209	18/09/2017	11:07:00	0.463194444
B	E02-0210	18/09/2017	12:48:00	0.533333333
B	E02-0214	19/09/2017	9:11:00	0.382638889
B	E02-0215	20/09/2017	9:27:00	0.39375
B	E02-0216	20/09/2017	10:13:00	0.425694444
B	E02-0217	20/09/2017	11:21:00	0.472916667
B	E02-0219	21/09/2017	10:19:00	0.429861111
B	E02-0220	21/09/2017	11:17:00	0.470138889
B	E02-0222	21/09/2017	13:40:00	0.569444444
B	E02-0223	22/09/2017	10:29:00	0.436805556
B	E02-0224	22/09/2017	13:00:00	0.541666667
B	E02-0225	22/09/2017	16:51:00	0.702083333
B	E02-0226	23/09/2017	7:27:00	0.310416667
B	E02-0227	23/09/2017	8:39:00	0.360416667
B	E02-0228	23/09/2017	10:20:00	0.430555556
