Condition	Video	Date	Photo.Time	Time_2
A	N01-0252	24/08/2017	16:07:00	0.671527778
A	N01-0253	30/08/2017	13:46:00	0.573611111
A	N01-0254	30/08/2017	14:31:00	0.604861111
A	N01-0256	30/08/2017	16:30:00	0.6875
A	N01-0260	01/09/2017	14:21:00	0.597916667
A	N01-0262	01/09/2017	17:03:00	0.710416667
A	N01-0263	02/09/2017	10:10:00	0.423611111
A	N01-0264	02/09/2017	13:25:00	0.559027778
A	N01-0265	02/09/2017	17:05:00	0.711805556
A	N01-0266	03/09/2017	8:35:00	0.357638889
A	N01-0267	03/09/2017	12:40:00	0.527777778
A	N01-0287	03/09/2017	17:30:00	0.729166667
A	N01-0288	04/09/2017	11:23:00	0.474305556
A	N01-0289	04/09/2017	13:12:00	0.55
A	N01-0291	04/09/2017	13:56:00	0.580555556
A	N01-0292	04/09/2017	14:40:00	0.611111111
A	N01-0293	05/09/2017	7:05:00	0.295138889
B	N01-0296	06/09/2017	12:19:00	0.513194444
B	N01-0297	06/09/2017	13:08:00	0.547222222
B	N01-0299	06/09/2017	13:58:00	0.581944444
B	N01-0304	06/09/2017	18:09:00	0.75625
B	N01-0305	07/09/2017	10:52:00	0.452777778
B	N01-0307	07/09/2017	11:44:00	0.488888889
B	N01-0309	07/09/2017	12:58:00	0.540277778
B	N01-0310	07/09/2017	14:44:00	0.613888889
B	N01-0312	08/09/2017	14:15:00	0.59375
B	N01-0313	08/09/2017	16:46:00	0.698611111
B	N01-0319	09/09/2017	13:48:00	0.575
B	N01-0323	09/09/2017	14:43:00	0.613194444
B	N01-0339	09/09/2017	16:43:00	0.696527778
A	N02-0027	15/08/2017	14:08:00	0.588888889
A	N02-0042	16/08/2017	11:19:00	0.471527778
A	N02-0043	18/08/2017	14:28:00	0.602777778
A	N02-0064	25/08/2017	15:40:00	0.652777778
A	N02-0071	03/09/2017	14:14:00	0.593055556
B	N02-0093	09/09/2017	13:16:00	0.552777778
B	N02-0119	11/09/2017	15:11:00	0.632638889
B	N02-0131	14/09/2017	14:45:00	0.614583333
B	N02-0138	15/09/2017	11:59:00	0.499305556
A	N03-0018	09/08/2017	7:35:00	0.315972222
A	N03-0019	09/08/2017	12:32:00	0.522222222
A	N03-0025	14/08/2017	14:34:00	0.606944444
A	N03-0027	19/08/2017	13:21:00	0.55625
A	N03-0028	20/08/2017	16:02:00	0.668055556
A	N03-0029	22/08/2017	13:17:00	0.553472222
A	N03-0030	22/08/2017	16:09:00	0.672916667
A	N03-0038	24/08/2017	14:50:00	0.618055556
A	N03-0042	27/08/2017	14:14:00	0.593055556
A	N03-0043	27/08/2017	16:20:00	0.680555556
A	N03-0044	28/08/2017	13:51:00	0.577083333
A	N03-0045	28/08/2017	14:54:00	0.620833333
A	N03-0046	29/08/2017	14:21:00	0.597916667
A	N03-0047	29/08/2017	16:39:00	0.69375
A	N03-0057	03/09/2017	16:09:00	0.672916667
B	N03-0060	06/09/2017	15:39:00	0.652083333
B	N03-0061	09/09/2017	13:57:00	0.58125
B	N03-0082	15/09/2017	15:33:00	0.647916667
B	N03-0100	26/09/2017	16:19:00	0.679861111
A	N03-0106	08/10/2017	15:08:00	0.630555556
A	N04-0038	25/08/2017	14:30:00	0.604166667
A	N04-0045	03/09/2017	14:22:00	0.598611111
B	N04-0081	15/09/2017	12:56:00	0.538888889
B	N04-0095	15/09/2017	17:11:00	0.715972222
B	N04-0135	26/09/2017	12:57:00	0.539583333
A	N05-0012	25/08/2017	11:22:00	0.473611111
A	N06-0016	11/08/2017	14:59:00	0.624305556
A	N06-0017	16/08/2017	12:53:00	0.536805556
A	N06-0020	24/08/2017	11:07:00	0.463194444
A	N06-0021	24/08/2017	13:37:00	0.567361111
A	N06-0026	28/08/2017	15:46:00	0.656944444
A	N06-0028	02/09/2017	11:04:00	0.461111111
B	N06-0045	09/09/2017	14:22:00	0.598611111
B	N06-0052	09/09/2017	15:30:00	0.645833333
B	N06-0058	10/09/2017	11:31:00	0.479861111
B	N06-0059	11/09/2017	14:44:00	0.613888889
B	N06-0061	11/09/2017	15:29:00	0.645138889
B	N06-0066	12/09/2017	14:54:00	0.620833333
B	N06-0068	12/09/2017	15:48:00	0.658333333
B	N06-0071	14/09/2017	11:51:00	0.49375
B	N06-0073	14/09/2017	14:11:00	0.590972222
B	N06-0074	14/09/2017	15:14:00	0.634722222
B	N06-0100	15/09/2017	17:11:00	0.715972222
B	N06-0122	16/09/2017	16:36:00	0.691666667
B	N06-0127	17/09/2017	15:55:00	0.663194444
B	N06-0128	18/09/2017	12:08:00	0.505555556
B	N06-0129	21/09/2017	10:01:00	0.417361111
B	N06-0130	22/09/2017	16:53:00	0.703472222
B	N06-0131	24/09/2017	16:24:00	0.683333333
B	N06-0177	06/10/2017	16:13:00	0.675694444
A	N08-0039	18/08/2017	12:40:00	0.527777778
A	N08-0077	24/08/2017	14:54:00	0.620833333
A	N09-0195	05/08/2017	11:39:00	0.485416667
A	N09-0198	06/08/2017	8:35:00	0.357638889
A	N09-0200	06/08/2017	9:43:00	0.404861111
A	N09-0202	06/08/2017	12:40:00	0.527777778
A	N09-0204	06/08/2017	17:01:00	0.709027778
A	N09-0205	07/08/2017	7:47:00	0.324305556
A	N09-0206	07/08/2017	9:15:00	0.385416667
A	N09-0207	07/08/2017	10:26:00	0.434722222
A	N09-0208	07/08/2017	12:44:00	0.530555556
A	N09-0209	07/08/2017	14:31:00	0.604861111
A	N09-0210	08/08/2017	9:11:00	0.382638889
A	N09-0211	08/08/2017	15:02:00	0.626388889
A	N09-0212	09/08/2017	10:47:00	0.449305556
A	N09-0213	09/08/2017	14:14:00	0.593055556
A	N09-0220	09/08/2017	15:56:00	0.663888889
A	N09-0490	11/08/2017	8:07:00	0.338194444
A	N09-0504	12/08/2017	8:54:00	0.370833333
A	N09-0506	12/08/2017	14:16:00	0.594444444
A	N09-0509	12/08/2017	14:50:00	0.618055556
A	N09-0512	12/08/2017	17:21:00	0.722916667
A	N09-0533	13/08/2017	13:32:00	0.563888889
A	N09-0538	13/08/2017	14:22:00	0.598611111
A	N09-0549	13/08/2017	16:09:00	0.672916667
A	N09-0567	13/08/2017	17:44:00	0.738888889
A	N09-0568	14/08/2017	8:02:00	0.334722222
A	N09-0569	14/08/2017	9:17:00	0.386805556
A	N09-0570	14/08/2017	9:53:00	0.411805556
A	N09-0573	14/08/2017	10:55:00	0.454861111
A	N09-0576	14/08/2017	11:51:00	0.49375
A	N09-0578	14/08/2017	12:42:00	0.529166667
A	N09-0580	14/08/2017	13:31:00	0.563194444
A	N09-0584	14/08/2017	14:55:00	0.621527778
A	N09-0588	14/08/2017	16:02:00	0.668055556
A	N09-0590	14/08/2017	16:41:00	0.695138889
A	N09-0591	14/08/2017	17:20:00	0.722222222
A	N09-0592	15/08/2017	7:43:00	0.321527778
A	N09-0594	15/08/2017	8:47:00	0.365972222
A	N09-0595	15/08/2017	9:59:00	0.415972222
A	N09-0596	15/08/2017	11:10:00	0.465277778
A	N09-0602	15/08/2017	12:55:00	0.538194444
A	N09-0603	15/08/2017	13:32:00	0.563888889
A	N09-0605	15/08/2017	14:37:00	0.609027778
A	N09-0607	15/08/2017	15:12:00	0.633333333
A	N09-0612	15/08/2017	15:57:00	0.664583333
A	N09-0616	15/08/2017	16:39:00	0.69375
A	N09-0617	16/08/2017	11:37:00	0.484027778
A	N09-0618	16/08/2017	12:27:00	0.51875
A	N09-0619	16/08/2017	13:08:00	0.547222222
A	N09-0621	16/08/2017	14:30:00	0.604166667
A	N09-0622	17/08/2017	12:35:00	0.524305556
A	N09-0628	18/08/2017	12:58:00	0.540277778
A	N09-0634	18/08/2017	17:19:00	0.721527778
A	N09-0675	19/08/2017	10:58:00	0.456944444
A	N09-0682	19/08/2017	13:35:00	0.565972222
A	N09-0684	19/08/2017	16:09:00	0.672916667
A	N09-0685	19/08/2017	16:41:00	0.695138889
A	N09-0686	20/08/2017	12:29:00	0.520138889
A	N09-0689	20/08/2017	14:16:00	0.594444444
A	N09-0691	20/08/2017	15:10:00	0.631944444
A	N09-0702	20/08/2017	16:15:00	0.677083333
A	N09-0708	20/08/2017	16:54:00	0.704166667
A	N09-0713	21/08/2017	8:08:00	0.338888889
B	N09B-187	09/09/2017	16:46:00	0.698611111
B	N09B-295	12/09/2017	17:03:00	0.710416667
B	N09B-324	14/09/2017	12:09:00	0.50625
B	N09B-449	15/09/2017	15:55:00	0.663194444
B	N09B-509	16/09/2017	14:35:00	0.607638889
B	N09B-566	16/09/2017	17:26:00	0.726388889
A	N11-0083	05/08/2017	7:57:00	0.33125
A	N11-0087	05/08/2017	10:30:00	0.4375
A	N11-0089	05/08/2017	11:57:00	0.497916667
A	N11-0092	05/08/2017	14:31:00	0.604861111
A	N11-0094	05/08/2017	15:30:00	0.645833333
A	N11-0095	05/08/2017	16:51:00	0.702083333
A	N11-0096	05/08/2017	17:33:00	0.73125
A	N11-0097	06/08/2017	7:43:00	0.321527778
A	N11-0100	06/08/2017	8:27:00	0.352083333
A	N11-0102	06/08/2017	9:55:00	0.413194444
A	N11-0103	06/08/2017	10:29:00	0.436805556
A	N11-0106	06/08/2017	11:10:00	0.465277778
A	N11-0108	06/08/2017	11:45:00	0.489583333
A	N11-0111	06/08/2017	12:22:00	0.515277778
A	N11-0113	06/08/2017	13:19:00	0.554861111
A	N11-0115	06/08/2017	14:11:00	0.590972222
A	N11-0116	06/08/2017	14:53:00	0.620138889
A	N11-0118	06/08/2017	15:37:00	0.650694444
A	N11-0119	06/08/2017	16:20:00	0.680555556
A	N11-0120	06/08/2017	16:55:00	0.704861111
A	N11-0121	06/08/2017	17:36:00	0.733333333
A	N11-0122	07/08/2017	7:51:00	0.327083333
A	N11-0125	07/08/2017	8:33:00	0.35625
A	N11-0127	07/08/2017	9:28:00	0.394444444
A	N11-0128	07/08/2017	10:07:00	0.421527778
A	N11-0129	07/08/2017	11:24:00	0.475
A	N11-0130	07/08/2017	12:11:00	0.507638889
A	N11-0132	07/08/2017	13:05:00	0.545138889
A	N11-0133	07/08/2017	14:39:00	0.610416667
A	N11-0135	07/08/2017	15:38:00	0.651388889
A	N11-0136	07/08/2017	16:36:00	0.691666667
A	N11-0137	07/08/2017	17:17:00	0.720138889
A	N11-0139	08/08/2017	8:11:00	0.340972222
A	N11-0140	08/08/2017	9:09:00	0.38125
A	N11-0143	08/08/2017	9:45:00	0.40625
A	N11-0145	08/08/2017	10:18:00	0.429166667
A	N11-0146	08/08/2017	10:53:00	0.453472222
A	N11-0148	08/08/2017	11:37:00	0.484027778
A	N11-0151	08/08/2017	12:53:00	0.536805556
A	N11-0152	08/08/2017	14:15:00	0.59375
A	N11-0153	08/08/2017	15:50:00	0.659722222
A	N11-0154	08/08/2017	16:48:00	0.7
A	N11-0156	09/08/2017	8:26:00	0.351388889
A	N11-0157	09/08/2017	9:46:00	0.406944444
A	N11-0159	09/08/2017	10:26:00	0.434722222
A	N11-0160	09/08/2017	11:14:00	0.468055556
A	N11-0183	09/08/2017	13:38:00	0.568055556
A	N11-0190	09/08/2017	14:13:00	0.592361111
